"filename", "language", "YAML", "Swift", "C++", "XML", "JSON", "Markdown", "Dart", "HTML", "Java Properties", "Gradle", "comment", "blank", "total"
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 5, 13, 73
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 1, 34
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\assets\info.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\assets\language.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\assets\smile.svg", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\ios\Runner\AppDelegate.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\config\constants\api_routes.dart", "Dart", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 4, 21
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\config\theme\app_colors.dart", "Dart", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 2, 20
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\config\theme\app_fonts.dart", "Dart", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 4, 2, 40
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\config\theme\app_text_style.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 2, 17
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\config\theme\app_theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 7, 31
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 1, 5, 116
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\models\api_response.dart", "Dart", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\models\user.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 3, 45
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\presentation\screens\user_information\edit_profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 294, 0, 0, 0, 3, 16, 313
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\presentation\screens\user_information\information_interests_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 3, 16, 166
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\presentation\screens\user_information\information_state_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 206, 0, 0, 0, 5, 19, 230
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\presentation\screens\user_information\user_information.dart", "Dart", 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 1, 14, 125
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\services\api.dart", "Dart", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 1, 7, 53
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\services\auth_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 2, 17, 132
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\services\configuration_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 1, 18, 142
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\auth\create_profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 307, 0, 0, 0, 1, 19, 327
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\auth\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 1, 12, 193
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\auth\register_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 1, 7, 128
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\auth\save_password_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 194, 0, 0, 0, 1, 10, 205
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\auth\validate_email_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 1, 3, 111
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\interfaces\DropdownObject.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\screens\customer_content_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 3, 16, 144
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\screens\interest_selection_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 5, 20, 161
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\screens\language_selection_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 7, 23, 206
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\screens\nationalitity_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 9, 22, 239
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\widgets\custom_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 1, 4, 46
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\widgets\custom_title.dart", "Dart", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\widgets\dropdown_button_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 9, 61
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\widgets\multi_select_tags.dart", "Dart", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 7, 57
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\linux\main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\linux\my_application.cc", "C++", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\linux\my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 15
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\macos\Runner\AppDelegate.swift", "Swift", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 1, 344
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\pubspec.yaml", "YAML", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 16, 106
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 16, 6, 60
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\windows\runner\flutter_window.cpp", "C++", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\windows\runner\flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\windows\runner\main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\windows\runner\resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\windows\runner\utils.cpp", "C++", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\windows\runner\utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\windows\runner\win32_window.cpp", "C++", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\windows\runner\win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 37, 54, 538, 484, 248, 13, 3015, 38, 8, 90, 332, 569, 5426